title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
LC 020BB 02S,LC 020BB 02S,LC020BB02S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.203,0.203,5.16,0.516,0.139,0.139,3.53,0.353,MIN,MIN,MIN,MIN,0.313,0.313,7.95,0.795,0.018,0.018,0.46,0.046,13.0841,13.084,2.291,22.91,0.2337,2.337,233.66,2336.6,1.308,1.308,0.2291,2.291,0.02336,0.2336,23.358,233.58,0.1081,0.108,2.75,0.275,0.02,0.02,0.51,0.051,Stainless Steel,SS,2.6751,2.675,11.9,1.213,1213.43,Squared and Ground,Factory Option,3.2513,3.2513,Reference,Reference,5.2513,5.2513,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.1475,0.148,3.75,0.375,Reference,Reference,Reference,Reference,,0.0002642
LC 020BB 02S316,LC 020BB 02S316,LC020BB02S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.203,0.203,5.16,0.516,0.139,0.139,3.53,0.353,MIN,MIN,MIN,MIN,0.313,0.313,7.95,0.795,0.018,0.018,0.46,0.046,13.0841,13.084,2.291,22.91,0.2337,2.337,233.66,2336.6,1.308,1.308,0.2291,2.291,0.02336,0.2336,23.358,233.58,0.1081,0.108,2.75,0.275,0.02,0.02,0.51,0.051,Stainless Steel Type 316,SS316,2.6751,2.675,11.9,1.213,1213.43,Squared and Ground,Factory Option,3.2513,3.2513,Reference,Reference,5.2513,5.2513,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.1475,0.148,3.75,0.375,Reference,Reference,Reference,Reference,,0.0002642
LC 020BB 03M,LC 020BB 03M,LC020BB03M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.203,0.203,5.16,0.516,0.139,0.139,3.53,0.353,MIN,MIN,MIN,MIN,0.375,0.375,9.53,0.953,0.018,0.018,0.46,0.046,12.8002,12.8,2.242,22.42,0.2286,2.286,228.59,2285.9,1.28,1.28,0.2242,2.242,0.02286,0.2286,22.858,228.58,0.1233,0.123,3.13,0.313,0.02,0.02,0.51,0.051,Music Wire,MW,3.2115,3.212,14.29,1.457,1456.74,Squared and Ground,Factory Option,3.9897,3.9897,Reference,Reference,5.9897,5.9897,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.1475,0.148,3.75,0.375,Reference,Reference,Reference,Reference,,0.0002958
LC 020BB 03S,LC 020BB 03S,LC020BB03S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.203,0.203,5.16,0.516,0.139,0.139,3.53,0.353,MIN,MIN,MIN,MIN,0.375,0.375,9.53,0.953,0.018,0.018,0.46,0.046,10.6625,10.663,1.867,18.67,0.1904,1.904,190.41,1904.1,1.066,1.066,0.1867,1.867,0.01904,0.1904,19.037,190.37,0.1233,0.123,3.13,0.313,0.02,0.02,0.51,0.051,Stainless Steel,SS,2.6751,2.675,11.9,1.213,1213.43,Squared and Ground,Factory Option,3.9897,3.9897,Reference,Reference,5.9897,5.9897,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.1475,0.148,3.75,0.375,Reference,Reference,Reference,Reference,,0.0003014
LC 020BB 03S316,LC 020BB 03S316,LC020BB03S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.203,0.203,5.16,0.516,0.139,0.139,3.53,0.353,MIN,MIN,MIN,MIN,0.375,0.375,9.53,0.953,0.018,0.018,0.46,0.046,10.6625,10.663,1.867,18.67,0.1904,1.904,190.41,1904.1,1.066,1.066,0.1867,1.867,0.01904,0.1904,19.037,190.37,0.1233,0.123,3.13,0.313,0.02,0.02,0.51,0.051,Stainless Steel Type 316,SS316,2.6751,2.675,11.9,1.213,1213.43,Squared and Ground,Factory Option,3.9897,3.9897,Reference,Reference,5.9897,5.9897,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.1475,0.148,3.75,0.375,Reference,Reference,Reference,Reference,,0.0003014
LC 020BB 04M,LC 020BB 04M,LC020BB04M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.203,0.203,5.16,0.516,0.139,0.139,3.53,0.353,MIN,MIN,MIN,MIN,0.438,0.438,11.13,1.113,0.018,0.018,0.46,0.046,10.774,10.774,1.887,18.87,0.1924,1.924,192.4,1924,1.077,1.077,0.1886,1.886,0.01923,0.1923,19.233,192.33,0.1388,0.139,3.53,0.353,0.02,0.02,0.51,0.051,Music Wire,MW,3.2115,3.212,14.29,1.457,1456.74,Squared and Ground,Factory Option,4.7401,4.7401,Reference,Reference,6.7401,6.7401,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.1475,0.148,3.75,0.375,Reference,Reference,Reference,Reference,,0.0003328
LC 020BB 04S,LC 020BB 04S,LC020BB04S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.203,0.203,5.16,0.516,0.139,0.139,3.53,0.353,MIN,MIN,MIN,MIN,0.438,0.438,11.13,1.113,0.018,0.018,0.46,0.046,8.9747,8.975,1.572,15.72,0.1603,1.603,160.27,1602.7,0.897,0.897,0.1571,1.571,0.01602,0.1602,16.019,160.19,0.1388,0.139,3.53,0.353,0.02,0.02,0.51,0.051,Stainless Steel,SS,2.6751,2.675,11.9,1.213,1213.43,Squared and Ground,Factory Option,4.7401,4.7401,Reference,Reference,6.7401,6.7401,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.1475,0.148,3.75,0.375,Reference,Reference,Reference,Reference,,0.0003392
LC 020BB 04S316,LC 020BB 04S316,LC020BB04S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.203,0.203,5.16,0.516,0.139,0.139,3.53,0.353,MIN,MIN,MIN,MIN,0.438,0.438,11.13,1.113,0.018,0.018,0.46,0.046,8.9747,8.975,1.572,15.72,0.1603,1.603,160.27,1602.7,0.897,0.897,0.1571,1.571,0.01602,0.1602,16.019,160.19,0.1388,0.139,3.53,0.353,0.02,0.02,0.51,0.051,Stainless Steel Type 316,SS316,2.6751,2.675,11.9,1.213,1213.43,Squared and Ground,Factory Option,4.7401,4.7401,Reference,Reference,6.7401,6.7401,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.1475,0.148,3.75,0.375,Reference,Reference,Reference,Reference,,0.0003392
LC 020BB 05M,LC 020BB 05M,LC020BB05M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.203,0.203,5.16,0.516,0.139,0.139,3.53,0.353,MIN,MIN,MIN,MIN,0.5,0.5,12.7,1.27,0.018,0.018,0.46,0.046,9.3218,9.322,1.633,16.33,0.1665,1.665,166.47,1664.7,0.932,0.932,0.1632,1.632,0.01664,0.1664,16.644,166.44,0.154,0.154,3.91,0.391,0.02,0.02,0.51,0.051,Music Wire,MW,3.2115,3.212,14.29,1.457,1456.74,Squared and Ground,Factory Option,5.4785,5.4785,Reference,Reference,7.4785,7.4785,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.1475,0.148,3.75,0.375,Reference,Reference,Reference,Reference,,0.0003693
LC 020BB 05S,LC 020BB 05S,LC020BB05S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.203,0.203,5.16,0.516,0.139,0.139,3.53,0.353,MIN,MIN,MIN,MIN,0.5,0.5,12.7,1.27,0.018,0.018,0.46,0.046,7.7651,7.765,1.36,13.6,0.1387,1.387,138.67,1386.7,0.777,0.777,0.1361,1.361,0.01388,0.1388,13.876,138.76,0.154,0.154,3.91,0.391,0.02,0.02,0.51,0.051,Stainless Steel,SS,2.6751,2.675,11.9,1.213,1213.43,Squared and Ground,Factory Option,5.4785,5.4785,Reference,Reference,7.4785,7.4785,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.1475,0.148,3.75,0.375,Reference,Reference,Reference,Reference,,0.0003763
LC 020BB 05S316,LC 020BB 05S316,LC020BB05S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.203,0.203,5.16,0.516,0.139,0.139,3.53,0.353,MIN,MIN,MIN,MIN,0.5,0.5,12.7,1.27,0.018,0.018,0.46,0.046,7.7651,7.765,1.36,13.6,0.1387,1.387,138.67,1386.7,0.777,0.777,0.1361,1.361,0.01388,0.1388,13.876,138.76,0.154,0.154,3.91,0.391,0.02,0.02,0.51,0.051,Stainless Steel Type 316,SS316,2.6751,2.675,11.9,1.213,1213.43,Squared and Ground,Factory Option,5.4785,5.4785,Reference,Reference,7.4785,7.4785,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.1475,0.148,3.75,0.375,Reference,Reference,Reference,Reference,,0.0003763
LC 020BB 06M,LC 020BB 06M,LC020BB06M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.203,0.203,5.16,0.516,0.139,0.139,3.53,0.353,MIN,MIN,MIN,MIN,0.563,0.563,14.3,1.43,0.02,0.02,0.51,0.051,8.1989,8.199,1.436,14.36,0.1464,1.464,146.42,1464.2,0.82,0.82,0.1436,1.436,0.01464,0.1464,14.644,146.44,0.1695,0.17,4.31,0.431,0.02,0.02,0.51,0.051,Music Wire,MW,3.2115,3.212,14.29,1.457,1456.74,Squared and Ground,Factory Option,6.2288,6.2288,Reference,Reference,8.2288,8.2288,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.1475,0.148,3.75,0.375,Reference,Reference,Reference,Reference,,0.0004063
LC 020BB 06S,LC 020BB 06S,LC020BB06S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.203,0.203,5.16,0.516,0.139,0.139,3.53,0.353,MIN,MIN,MIN,MIN,0.563,0.563,14.3,1.43,0.02,0.02,0.51,0.051,6.8297,6.83,1.196,11.96,0.122,1.22,121.96,1219.6,0.683,0.683,0.1196,1.196,0.0122,0.122,12.197,121.97,0.1695,0.17,4.31,0.431,0.02,0.02,0.51,0.051,Stainless Steel,SS,2.6751,2.675,11.9,1.213,1213.43,Squared and Ground,Factory Option,6.2288,6.2288,Reference,Reference,8.2288,8.2288,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.1475,0.148,3.75,0.375,Reference,Reference,Reference,Reference,,0.0004141
LC 020BB 06S316,LC 020BB 06S316,LC020BB06S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.203,0.203,5.16,0.516,0.139,0.139,3.53,0.353,MIN,MIN,MIN,MIN,0.563,0.563,14.3,1.43,0.02,0.02,0.51,0.051,6.8297,6.83,1.196,11.96,0.122,1.22,121.96,1219.6,0.683,0.683,0.1196,1.196,0.0122,0.122,12.197,121.97,0.1695,0.17,4.31,0.431,0.02,0.02,0.51,0.051,Stainless Steel Type 316,SS316,2.6751,2.675,11.9,1.213,1213.43,Squared and Ground,Factory Option,6.2288,6.2288,Reference,Reference,8.2288,8.2288,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.1475,0.148,3.75,0.375,Reference,Reference,Reference,Reference,,0.0004141
LC 020BB 07M,LC 020BB 07M,LC020BB07M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.203,0.203,5.16,0.516,0.139,0.139,3.53,0.353,MIN,MIN,MIN,MIN,0.625,0.625,15.88,1.588,0.022,0.022,0.56,0.056,7.33,7.33,1.284,12.84,0.1309,1.309,130.9,1309,0.733,0.733,0.1284,1.284,0.01309,0.1309,13.09,130.9,0.1847,0.185,4.69,0.469,0.02,0.02,0.51,0.051,Music Wire,MW,3.2115,3.212,14.29,1.457,1456.74,Squared and Ground,Factory Option,6.9672,6.9672,Reference,Reference,8.9672,8.9672,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.1475,0.148,3.75,0.375,Reference,Reference,Reference,Reference,,0.0004428
LC 020BB 07S,LC 020BB 07S,LC020BB07S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.203,0.203,5.16,0.516,0.139,0.139,3.53,0.353,MIN,MIN,MIN,MIN,0.625,0.625,15.88,1.588,0.022,0.022,0.56,0.056,6.1059,6.106,1.069,10.69,0.109,1.09,109.04,1090.4,0.611,0.611,0.107,1.07,0.01091,0.1091,10.911,109.11,0.1847,0.185,4.69,0.469,0.02,0.02,0.51,0.051,Stainless Steel,SS,2.6751,2.675,11.9,1.213,1213.43,Squared and Ground,Factory Option,6.9672,6.9672,Reference,Reference,8.9672,8.9672,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.1475,0.148,3.75,0.375,Reference,Reference,Reference,Reference,,0.0004512
LC 020BB 07S316,LC 020BB 07S316,LC020BB07S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.203,0.203,5.16,0.516,0.139,0.139,3.53,0.353,MIN,MIN,MIN,MIN,0.625,0.625,15.88,1.588,0.022,0.022,0.56,0.056,6.1059,6.106,1.069,10.69,0.109,1.09,109.04,1090.4,0.611,0.611,0.107,1.07,0.01091,0.1091,10.911,109.11,0.1847,0.185,4.69,0.469,0.02,0.02,0.51,0.051,Stainless Steel Type 316,SS316,2.6751,2.675,11.9,1.213,1213.43,Squared and Ground,Factory Option,6.9672,6.9672,Reference,Reference,8.9672,8.9672,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.1475,0.148,3.75,0.375,Reference,Reference,Reference,Reference,,0.0004512
LC 020BB 08M,LC 020BB 08M,LC020BB08M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.203,0.203,5.16,0.516,0.139,0.139,3.53,0.353,MIN,MIN,MIN,MIN,0.688,0.688,17.48,1.748,0.024,0.024,0.61,0.061,6.6173,6.617,1.159,11.59,0.1182,1.182,118.17,1181.7,0.662,0.662,0.1159,1.159,0.01182,0.1182,11.822,118.22,0.2001,0.2,5.08,0.508,0.02,0.02,0.51,0.051,Music Wire,MW,3.2115,3.212,14.29,1.457,1456.74,Squared and Ground,Factory Option,7.7175,7.7175,Reference,Reference,9.7175,9.7175,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.1475,0.148,3.75,0.375,Reference,Reference,Reference,Reference,,0.0004799
LC 020BB 08S,LC 020BB 08S,LC020BB08S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.203,0.203,5.16,0.516,0.139,0.139,3.53,0.353,MIN,MIN,MIN,MIN,0.688,0.688,17.48,1.748,0.024,0.024,0.61,0.061,5.5122,5.512,0.965,9.65,0.0984,0.984,98.44,984.4,0.551,0.551,0.0965,0.965,0.00984,0.0984,9.84,98.4,0.2001,0.2,5.08,0.508,0.02,0.02,0.51,0.051,Stainless Steel,SS,2.6751,2.675,11.9,1.213,1213.43,Squared and Ground,Factory Option,7.7175,7.7175,Reference,Reference,9.7175,9.7175,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.1475,0.148,3.75,0.375,Reference,Reference,Reference,Reference,,0.000489
LC 020BB 08S316,LC 020BB 08S316,LC020BB08S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.203,0.203,5.16,0.516,0.139,0.139,3.53,0.353,MIN,MIN,MIN,MIN,0.688,0.688,17.48,1.748,0.024,0.024,0.61,0.061,5.5122,5.512,0.965,9.65,0.0984,0.984,98.44,984.4,0.551,0.551,0.0965,0.965,0.00984,0.0984,9.84,98.4,0.2001,0.2,5.08,0.508,0.02,0.02,0.51,0.051,Stainless Steel Type 316,SS316,2.6751,2.675,11.9,1.213,1213.43,Squared and Ground,Factory Option,7.7175,7.7175,Reference,Reference,9.7175,9.7175,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.1475,0.148,3.75,0.375,Reference,Reference,Reference,Reference,,0.000489
LC 020BB 09M,LC 020BB 09M,LC020BB09M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.203,0.203,5.16,0.516,0.139,0.139,3.53,0.353,MIN,MIN,MIN,MIN,0.75,0.75,19.05,1.905,0.026,0.026,0.66,0.066,6.0395,6.04,1.058,10.58,0.1079,1.079,107.85,1078.5,0.604,0.604,0.1058,1.058,0.01079,0.1079,10.786,107.86,0.2153,0.215,5.47,0.547,0.02,0.02,0.51,0.051,Music Wire,MW,3.2115,3.212,14.29,1.457,1456.74,Squared and Ground,Factory Option,8.4559,8.4559,Reference,Reference,10.4559,10.4559,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.1475,0.148,3.75,0.375,Reference,Reference,Reference,Reference,,0.0005163
LC 020BB 09S,LC 020BB 09S,LC020BB09S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.203,0.203,5.16,0.516,0.139,0.139,3.53,0.353,MIN,MIN,MIN,MIN,0.75,0.75,19.05,1.905,0.026,0.026,0.66,0.066,5.0309,5.031,0.881,8.81,0.0898,0.898,89.84,898.4,0.503,0.503,0.0881,0.881,0.00898,0.0898,8.983,89.83,0.2153,0.215,5.47,0.547,0.02,0.02,0.51,0.051,Stainless Steel,SS,2.6751,2.675,11.9,1.213,1213.43,Squared and Ground,Factory Option,8.4559,8.4559,Reference,Reference,10.4559,10.4559,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.1475,0.148,3.75,0.375,Reference,Reference,Reference,Reference,,0.0005262
LC 020BB 09S316,LC 020BB 09S316,LC020BB09S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.203,0.203,5.16,0.516,0.139,0.139,3.53,0.353,MIN,MIN,MIN,MIN,0.75,0.75,19.05,1.905,0.026,0.026,0.66,0.066,5.0309,5.031,0.881,8.81,0.0898,0.898,89.84,898.4,0.503,0.503,0.0881,0.881,0.00898,0.0898,8.983,89.83,0.2153,0.215,5.47,0.547,0.02,0.02,0.51,0.051,Stainless Steel Type 316,SS316,2.6751,2.675,11.9,1.213,1213.43,Squared and Ground,Factory Option,8.4559,8.4559,Reference,Reference,10.4559,10.4559,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.1475,0.148,3.75,0.375,Reference,Reference,Reference,Reference,,0.0005262
LC 020BB 10M,LC 020BB 10M,LC020BB10M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.203,0.203,5.16,0.516,0.139,0.139,3.53,0.353,MIN,MIN,MIN,MIN,0.875,0.875,22.23,2.223,0.031,0.031,0.79,0.079,5.1354,5.135,0.899,8.99,0.0917,0.917,91.71,917.1,0.514,0.514,0.09,0.9,0.00918,0.0918,9.179,91.79,0.246,0.246,6.25,0.625,0.02,0.02,0.51,0.051,Music Wire,MW,3.2115,3.212,14.29,1.457,1456.74,Squared and Ground,Factory Option,9.9446,9.9446,Reference,Reference,11.9446,11.9446,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.1475,0.148,3.75,0.375,Reference,Reference,Reference,Reference,,0.0005898
LC 020BB 10S,LC 020BB 10S,LC020BB10S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.203,0.203,5.16,0.516,0.139,0.139,3.53,0.353,MIN,MIN,MIN,MIN,0.875,0.875,22.23,2.223,0.031,0.031,0.79,0.079,4.2777,4.278,0.749,7.49,0.0764,0.764,76.39,763.9,0.428,0.428,0.075,0.75,0.00764,0.0764,7.643,76.43,0.246,0.246,6.25,0.625,0.02,0.02,0.51,0.051,Stainless Steel,SS,2.6751,2.675,11.9,1.213,1213.43,Squared and Ground,Factory Option,9.9446,9.9446,Reference,Reference,11.9446,11.9446,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.1475,0.148,3.75,0.375,Reference,Reference,Reference,Reference,,0.0006011
LC 020BB 10S316,LC 020BB 10S316,LC020BB10S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.203,0.203,5.16,0.516,0.139,0.139,3.53,0.353,MIN,MIN,MIN,MIN,0.875,0.875,22.23,2.223,0.031,0.031,0.79,0.079,4.2777,4.278,0.749,7.49,0.0764,0.764,76.39,763.9,0.428,0.428,0.075,0.75,0.00764,0.0764,7.643,76.43,0.246,0.246,6.25,0.625,0.02,0.02,0.51,0.051,Stainless Steel Type 316,SS316,2.6751,2.675,11.9,1.213,1213.43,Squared and Ground,Factory Option,9.9446,9.9446,Reference,Reference,11.9446,11.9446,Passivate per ASTM A967,1,Standard Compression Series (inch),ASTM A313,0.1475,0.148,3.75,0.375,Reference,Reference,Reference,Reference,,0.0006011
LC 020BB 11M,LC 020BB 11M,LC020BB11M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,+0.003/-0.005,+0.003/-0.005,+0.08/-0.13,+0.008/-0.013,0.203,0.203,5.16,0.516,0.139,0.139,3.53,0.353,MIN,MIN,MIN,MIN,0.938,0.938,23.83,2.383,0.033,0.033,0.84,0.084,4.7751,4.775,0.836,8.36,0.0853,0.853,85.27,852.7,0.478,0.478,0.0837,0.837,0.00854,0.0854,8.536,85.36,0.2615,0.262,6.64,0.664,0.02,0.02,0.51,0.051,Music Wire,MW,3.2115,3.212,14.29,1.457,1456.74,Squared and Ground,Factory Option,10.695,10.695,Reference,Reference,12.695,12.695,Zinc Plate and Bake per ASTM B633,1,Standard Compression Series (inch),ASTM A228,0.1475,0.148,3.75,0.375,Reference,Reference,Reference,Reference,,0.0006269
